session_id,server_id,start,end,real_time_start,real_time_end,game_time_start,game_time_end,last_heartbeat
24,807,2018-02-18 15:03:34,2018-02-18 19:03:34,32444,46844,568,0,2018-02-18 19:03:34
25,704,2018-02-20 03:42:51,2018-02-20 07:42:51,46130,60530,986,0,2018-02-20 07:42:51
26,239,2018-02-21 15:55:18,2018-02-21 19:55:18,34083,48483,778,0,2018-02-21 19:55:18
27,362,2018-01-12 02:18:37,2018-01-12 06:18:37,53936,68336,983,0,2018-01-12 06:18:37
28,271,2018-02-18 07:01:28,,43691,49530,517,0,2018-02-18 08:38:47
29,34,2018-01-17 12:57:28,,22737,24977,63,0,2018-01-17 13:34:48
30,11,2018-02-14 20:46:58,2018-02-15 00:46:58,20041,34441,53,0,2018-02-15 00:46:58
31,503,2018-01-01 18:08:11,2018-01-01 22:08:11,45172,59572,744,0,2018-01-01 22:08:11
32,904,2018-02-17 02:26:16,,35347,44642,628,0,2018-02-17 05:01:11
33,640,2018-01-18 02:19:37,,33664,34640,726,0,2018-01-18 02:35:53
34,655,2018-01-27 11:05:14,2018-01-27 15:05:14,41305,55705,431,0,2018-01-27 15:05:14
35,288,2018-01-02 08:03:45,2018-01-02 12:03:45,9892,24292,823,0,2018-01-02 12:03:45
36,137,2018-02-26 04:30:09,2018-02-26 08:30:09,7622,22022,797,0,2018-02-26 08:30:09
37,795,2018-01-03 00:18:28,2018-01-03 04:18:28,47523,61923,366,0,2018-01-03 04:18:28
38,803,2018-02-03 06:23:13,,4685,7328,294,0,2018-02-03 07:07:16
39,413,2018-01-19 14:39:50,,6565,20420,114,0,2018-01-19 18:30:45
40,616,2018-02-12 00:11:29,,29324,34268,295,0,2018-02-12 01:33:53
41,174,2018-01-31 14:04:08,2018-01-31 18:04:08,29291,43691,588,0,2018-01-31 18:04:08
42,884,2018-01-08 15:12:21,2018-01-08 19:12:21,39171,53571,728,0,2018-01-08 19:12:21
43,17,2018-02-12 09:02:53,2018-02-12 13:02:53,17320,31720,778,0,2018-02-12 13:02:53
44,894,2018-02-23 11:02:13,2018-02-23 15:02:13,10242,24642,749,0,2018-02-23 15:02:13
45,428,2018-02-19 03:43:41,,20955,24860,981,0,2018-02-19 04:48:46
46,324,2018-02-04 12:09:25,2018-02-04 16:09:25,39826,54226,509,0,2018-02-04 16:09:25
47,924,2018-02-19 17:36:09,,7659,8571,567,0,2018-02-19 17:51:21
48,651,2018-01-01 04:36:49,,11272,13524,818,0,2018-01-01 05:14:21
49,742,2018-02-09 18:02:30,2018-02-09 22:02:30,6277,20677,152,0,2018-02-09 22:02:30
50,808,2018-01-23 23:21:09,2018-01-24 03:21:09,54318,68718,679,0,2018-01-24 03:21:09
51,487,2018-02-16 20:28:03,2018-02-17 00:28:03,56330,70730,111,0,2018-02-17 00:28:03
52,258,2018-02-17 09:52:29,2018-02-17 13:52:29,12401,26801,210,0,2018-02-17 13:52:29
53,651,2018-02-19 07:03:49,2018-02-19 11:03:49,45210,59610,979,0,2018-02-19 11:03:49
54,705,2018-01-27 00:18:52,2018-01-27 04:18:52,39830,54230,638,0,2018-01-27 04:18:52
55,246,2018-01-06 00:31:10,2018-01-06 04:31:10,49608,64008,956,0,2018-01-06 04:31:10
56,766,2018-01-29 05:44:56,,10497,24846,476,0,2018-01-29 09:44:05
57,482,2018-02-26 00:05:52,2018-02-26 04:05:52,11022,25422,49,0,2018-02-26 04:05:52
58,301,2018-02-18 16:28:35,2018-02-18 20:28:35,33640,48040,32,0,2018-02-18 20:28:35
59,23,2018-01-01 00:04:29,2018-01-01 04:04:29,37193,51593,959,0,2018-01-01 04:04:29
60,407,2018-01-07 14:37:04,,26411,35672,308,0,2018-01-07 17:11:25
61,55,2018-01-01 10:10:01,,19039,20570,737,0,2018-01-01 10:35:32
62,865,2018-01-15 09:07:52,2018-01-15 13:07:52,44990,59390,688,0,2018-01-15 13:07:52
63,179,2018-01-08 07:39:02,,15542,22397,32,0,2018-01-08 09:33:17
64,727,2018-02-27 15:35:29,2018-02-27 19:35:29,11555,25955,193,0,2018-02-27 19:35:29
65,943,2018-02-13 11:48:51,2018-02-13 15:48:51,17446,31846,109,0,2018-02-13 15:48:51
66,926,2018-01-03 01:21:09,2018-01-03 05:21:09,42033,56433,605,0,2018-01-03 05:21:09
67,305,2018-01-07 03:16:09,,21085,31122,267,0,2018-01-07 06:03:26
68,981,2018-01-28 22:53:59,2018-01-29 02:53:59,21054,35454,312,0,2018-01-29 02:53:59
69,384,2018-01-29 13:53:53,,315,9618,432,0,2018-01-29 16:28:56
70,99,2018-01-23 11:47:56,,11635,13916,525,0,2018-01-23 12:25:57
71,195,2018-02-26 00:00:44,,33828,45523,972,0,2018-02-26 03:15:39
72,682,2018-02-09 02:50:40,2018-02-09 06:50:40,22656,37056,586,0,2018-02-09 06:50:40
73,889,2018-02-11 12:07:25,,25467,39465,742,0,2018-02-11 16:00:43
74,207,2018-01-29 06:18:08,2018-01-29 10:18:08,43758,58158,501,0,2018-01-29 10:18:08
75,340,2018-02-17 12:05:11,2018-02-17 16:05:11,52254,66654,590,0,2018-02-17 16:05:11
76,946,2018-02-19 07:42:53,,1206,9022,760,0,2018-02-19 09:53:09
77,644,2018-01-26 11:23:43,2018-01-26 15:23:43,52924,67324,614,0,2018-01-26 15:23:43
78,994,2018-01-08 16:23:12,,33789,41688,295,0,2018-01-08 18:34:51
79,212,2018-02-19 10:36:55,,47705,58102,639,0,2018-02-19 13:30:12
80,629,2018-02-14 20:11:05,2018-02-15 00:11:05,48544,62944,937,0,2018-02-15 00:11:05
81,231,2018-02-26 21:21:33,2018-02-27 01:21:33,50523,64923,768,0,2018-02-27 01:21:33
82,700,2018-02-22 10:39:57,2018-02-22 14:39:57,38705,53105,223,0,2018-02-22 14:39:57
83,428,2018-01-09 14:40:56,2018-01-09 18:40:56,2653,17053,101,0,2018-01-09 18:40:56
84,42,2018-01-11 20:50:04,2018-01-12 00:50:04,26351,40751,820,0,2018-01-12 00:50:04
85,933,2018-01-13 09:18:02,,8986,16285,580,0,2018-01-13 11:19:41
86,704,2018-01-16 23:21:20,2018-01-17 03:21:20,44877,59277,802,0,2018-01-17 03:21:20
87,179,2018-02-26 04:29:43,2018-02-26 08:29:43,17498,31898,908,0,2018-02-26 08:29:43
88,369,2018-02-07 15:29:12,2018-02-07 19:29:12,28908,43308,603,0,2018-02-07 19:29:12
89,764,2018-02-12 05:11:41,,28101,37351,458,0,2018-02-12 07:45:51
90,708,2018-01-03 09:45:40,2018-01-03 13:45:40,13130,27530,652,0,2018-01-03 13:45:40
91,856,2018-01-18 06:59:31,,53464,65778,346,0,2018-01-18 10:24:45
92,929,2018-01-20 11:35:05,2018-01-20 15:35:05,23690,38090,518,0,2018-01-20 15:35:05
93,820,2018-02-09 21:14:37,,25241,28884,933,0,2018-02-09 22:15:20
94,595,2018-01-19 04:46:14,2018-01-19 08:46:14,27643,42043,879,0,2018-01-19 08:46:14
95,502,2018-01-31 03:01:10,2018-01-31 07:01:10,50135,64535,100,0,2018-01-31 07:01:10
96,835,2018-01-20 07:28:48,2018-01-20 11:28:48,4204,18604,123,0,2018-01-20 11:28:48
97,645,2018-02-13 12:07:53,2018-02-13 16:07:53,10149,24549,835,0,2018-02-13 16:07:53
98,970,2018-02-21 02:58:57,2018-02-21 06:58:57,42688,57088,83,0,2018-02-21 06:58:57
99,405,2018-01-28 14:29:29,,38097,51696,713,0,2018-01-28 18:16:08
100,349,2018-02-18 18:29:50,2018-02-18 22:29:50,51217,65617,628,0,2018-02-18 22:29:50
101,750,2018-01-10 10:20:56,2018-01-10 14:20:56,54115,68515,508,0,2018-01-10 14:20:56
102,622,2018-02-15 09:33:38,,35111,42535,181,0,2018-02-15 11:37:22
103,970,2018-02-26 16:25:38,2018-02-26 20:25:38,19059,33459,469,0,2018-02-26 20:25:38
104,276,2018-02-06 23:08:22,,53570,62200,643,0,2018-02-07 01:32:12
105,293,2018-02-14 20:27:29,,54870,63721,234,0,2018-02-14 22:55:00
106,181,2018-02-02 02:52:06,2018-02-02 06:52:06,52710,67110,672,0,2018-02-02 06:52:06
107,369,2018-01-17 03:18:30,2018-01-17 07:18:30,42212,56612,433,0,2018-01-17 07:18:30
108,769,2018-02-11 15:37:32,,39135,46219,389,0,2018-02-11 17:35:36
109,694,2018-02-18 21:55:21,,34453,39544,942,0,2018-02-18 23:20:12
110,878,2018-02-26 01:08:55,2018-02-26 05:08:55,10270,24670,729,0,2018-02-26 05:08:55
111,599,2018-01-01 03:51:31,,58219,62715,314,0,2018-01-01 05:06:27
112,143,2018-01-16 02:58:53,2018-01-16 06:58:53,39728,54128,365,0,2018-01-16 06:58:53
113,194,2018-02-07 22:45:26,2018-02-08 02:45:26,51302,65702,282,0,2018-02-08 02:45:26
114,591,2018-01-18 06:54:36,2018-01-18 10:54:36,29491,43891,604,0,2018-01-18 10:54:36
115,72,2018-02-23 05:05:56,2018-02-23 09:05:56,58143,72543,945,0,2018-02-23 09:05:56
116,398,2018-01-23 05:47:24,2018-01-23 09:47:24,7372,21772,252,0,2018-01-23 09:47:24
117,553,2018-01-25 03:41:21,2018-01-25 07:41:21,31263,45663,142,0,2018-01-25 07:41:21
118,150,2018-01-09 04:25:47,,11161,16260,169,0,2018-01-09 05:50:46
119,935,2018-02-17 13:39:31,,15088,28615,914,0,2018-02-17 17:24:58
120,570,2018-02-14 12:38:27,2018-02-14 16:38:27,37939,52339,662,0,2018-02-14 16:38:27
121,465,2018-01-06 05:16:42,2018-01-06 09:16:42,2835,17235,47,0,2018-01-06 09:16:42
122,191,2018-01-11 21:40:00,2018-01-12 01:40:00,16777,31177,315,0,2018-01-12 01:40:00
123,564,2018-01-23 11:03:47,2018-01-23 15:03:47,40081,54481,423,0,2018-01-23 15:03:47
124,36,2018-02-10 06:12:24,2018-02-10 10:12:24,28208,42608,853,0,2018-02-10 10:12:24
125,594,2018-01-31 17:12:15,2018-01-31 21:12:15,27059,41459,909,0,2018-01-31 21:12:15
126,16,2018-01-25 13:22:15,2018-01-25 17:22:15,56867,71267,255,0,2018-01-25 17:22:15
127,228,2018-02-01 10:47:32,,12456,19411,365,0,2018-02-01 12:43:27
128,643,2018-01-19 19:21:50,,56046,59511,854,0,2018-01-19 20:19:35
129,934,2018-02-09 23:32:29,2018-02-10 03:32:29,24293,38693,326,0,2018-02-10 03:32:29
130,448,2018-01-18 09:26:00,,49785,60470,425,0,2018-01-18 12:24:05
131,557,2018-02-07 04:09:34,,30852,33661,113,0,2018-02-07 04:56:23
132,564,2018-02-24 18:00:22,2018-02-24 22:00:22,41957,56357,69,0,2018-02-24 22:00:22
133,901,2018-01-26 08:43:12,2018-01-26 12:43:12,53180,67580,822,0,2018-01-26 12:43:12
134,14,2018-01-13 02:42:31,2018-01-13 06:42:31,8152,22552,493,0,2018-01-13 06:42:31
135,547,2018-02-09 05:01:40,,25198,32855,60,0,2018-02-09 07:09:17
136,324,2018-02-27 00:08:28,2018-02-27 04:08:28,57504,71904,110,0,2018-02-27 04:08:28
137,811,2018-01-04 19:26:13,2018-01-04 23:26:13,16871,31271,480,0,2018-01-04 23:26:13
138,904,2018-01-24 20:02:55,,55871,67708,787,0,2018-01-24 23:20:12
139,533,2018-01-15 12:23:07,2018-01-15 16:23:07,50959,65359,382,0,2018-01-15 16:23:07
140,429,2018-02-14 17:31:50,2018-02-14 21:31:50,32878,47278,386,0,2018-02-14 21:31:50
141,784,2018-02-18 19:38:23,,15698,29917,224,0,2018-02-18 23:35:22
142,418,2018-02-05 03:04:26,2018-02-05 07:04:26,58388,72788,727,0,2018-02-05 07:04:26
143,879,2018-02-19 10:32:05,2018-02-19 14:32:05,42637,57037,936,0,2018-02-19 14:32:05
144,147,2018-01-28 21:42:32,2018-01-29 01:42:32,46772,61172,615,0,2018-01-29 01:42:32
145,186,2018-01-11 07:40:33,2018-01-11 11:40:33,1833,16233,935,0,2018-01-11 11:40:33
146,406,2018-02-15 09:01:09,2018-02-15 13:01:09,57560,71960,526,0,2018-02-15 13:01:09
147,817,2018-02-05 18:14:47,,22002,27217,221,0,2018-02-05 19:41:42
148,276,2018-01-14 10:16:48,2018-01-14 14:16:48,11733,26133,629,0,2018-01-14 14:16:48
149,65,2018-02-15 03:25:18,2018-02-15 07:25:18,54173,68573,730,0,2018-02-15 07:25:18
150,632,2018-01-31 02:15:59,,45153,52988,159,0,2018-01-31 04:26:34
151,733,2018-02-16 04:08:13,2018-02-16 08:08:13,41452,55852,592,0,2018-02-16 08:08:13
152,714,2018-02-01 02:50:34,2018-02-01 06:50:34,6925,21325,988,0,2018-02-01 06:50:34
153,756,2018-02-22 21:15:38,2018-02-23 01:15:38,41299,55699,171,0,2018-02-23 01:15:38
154,71,2018-02-03 03:40:59,,55334,57099,326,0,2018-02-03 04:10:24
155,795,2018-02-21 03:07:12,2018-02-21 07:07:12,59012,73412,681,0,2018-02-21 07:07:12
156,736,2018-01-14 05:18:54,2018-01-14 09:18:54,44004,58404,561,0,2018-01-14 09:18:54
157,312,2018-01-10 01:56:24,2018-01-10 05:56:24,52200,66600,913,0,2018-01-10 05:56:24
158,647,2018-01-04 13:35:42,2018-01-04 17:35:42,44940,59340,756,0,2018-01-04 17:35:42
159,451,2018-02-05 08:44:48,,47539,59556,414,0,2018-02-05 12:05:05
160,202,2018-01-04 12:31:57,2018-01-04 16:31:57,26626,41026,338,0,2018-01-04 16:31:57
161,641,2018-01-29 21:38:11,2018-01-30 01:38:11,49794,64194,518,0,2018-01-30 01:38:11
162,557,2018-01-01 09:01:32,2018-01-01 13:01:32,26767,41167,275,0,2018-01-01 13:01:32
163,712,2018-01-28 20:59:30,,22330,32119,717,0,2018-01-28 23:42:39
164,942,2018-01-05 08:21:26,2018-01-05 12:21:26,29212,43612,729,0,2018-01-05 12:21:26
165,992,2018-02-08 18:59:16,2018-02-08 22:59:16,11369,25769,249,0,2018-02-08 22:59:16
166,689,2018-02-15 22:09:54,,42248,51024,692,0,2018-02-16 00:36:10
167,457,2018-01-06 00:40:20,2018-01-06 04:40:20,46790,61190,185,0,2018-01-06 04:40:20
168,19,2018-02-01 03:50:34,2018-02-01 07:50:34,14511,28911,896,0,2018-02-01 07:50:34
169,866,2018-02-28 11:17:47,2018-02-28 15:17:47,15220,29620,623,0,2018-02-28 15:17:47
170,802,2018-01-15 18:38:37,2018-01-15 22:38:37,16866,31266,391,0,2018-01-15 22:38:37
171,677,2018-02-14 09:33:42,,59728,60246,317,0,2018-02-14 09:42:20
172,640,2018-01-13 01:30:40,2018-01-13 05:30:40,3881,18281,316,0,2018-01-13 05:30:40
173,142,2018-01-16 14:42:49,2018-01-16 18:42:49,36138,50538,435,0,2018-01-16 18:42:49
174,191,2018-01-30 09:39:44,2018-01-30 13:39:44,43215,57615,922,0,2018-01-30 13:39:44
175,551,2018-02-19 19:56:56,2018-02-19 23:56:56,29221,43621,104,0,2018-02-19 23:56:56
176,186,2018-01-27 22:05:18,2018-01-28 02:05:18,26584,40984,772,0,2018-01-28 02:05:18
177,629,2018-01-07 05:00:31,2018-01-07 09:00:31,6208,20608,951,0,2018-01-07 09:00:31
178,707,2018-01-29 10:55:00,2018-01-29 14:55:00,204,14604,419,0,2018-01-29 14:55:00
179,878,2018-01-10 11:12:15,,40170,49091,935,0,2018-01-10 13:40:56
180,117,2018-02-01 01:16:37,2018-02-01 05:16:37,11293,25693,251,0,2018-02-01 05:16:37
181,391,2018-02-07 06:09:40,2018-02-07 10:09:40,38612,53012,604,0,2018-02-07 10:09:40
182,907,2018-02-20 11:39:03,2018-02-20 15:39:03,56793,71193,516,0,2018-02-20 15:39:03
183,106,2018-01-08 07:34:10,2018-01-08 11:34:10,9887,24287,608,0,2018-01-08 11:34:10
184,219,2018-02-12 15:42:03,2018-02-12 19:42:03,1340,15740,71,0,2018-02-12 19:42:03
185,327,2018-01-07 02:11:30,,50347,51580,510,0,2018-01-07 02:32:03
186,584,2018-02-23 19:07:50,2018-02-23 23:07:50,6516,20916,93,0,2018-02-23 23:07:50
187,385,2018-02-11 21:01:54,2018-02-12 01:01:54,10484,24884,920,0,2018-02-12 01:01:54
188,429,2018-01-27 19:42:56,2018-01-27 23:42:56,17624,32024,386,0,2018-01-27 23:42:56
189,226,2018-01-02 09:29:45,2018-01-02 13:29:45,51322,65722,714,0,2018-01-02 13:29:45
190,652,2018-01-03 10:12:00,2018-01-03 14:12:00,16082,30482,586,0,2018-01-03 14:12:00
191,106,2018-01-28 02:19:48,,11058,20331,52,0,2018-01-28 04:54:21
192,961,2018-02-22 06:02:56,2018-02-22 10:02:56,17097,31497,505,0,2018-02-22 10:02:56
193,363,2018-01-09 20:17:25,2018-01-10 00:17:25,11128,25528,319,0,2018-01-10 00:17:25
194,145,2018-01-28 18:11:10,2018-01-28 22:11:10,53495,67895,970,0,2018-01-28 22:11:10
195,469,2018-02-05 11:31:43,,45563,59336,502,0,2018-02-05 15:21:16
196,589,2018-01-21 23:38:35,,2246,12523,813,0,2018-01-22 02:29:52
197,323,2018-02-13 04:21:22,2018-02-13 08:21:22,17446,31846,951,0,2018-02-13 08:21:22
198,82,2018-01-17 04:15:58,,48825,57607,732,0,2018-01-17 06:42:20
199,307,2018-01-10 01:18:01,2018-01-10 05:18:01,13441,27841,329,0,2018-01-10 05:18:01
200,183,2018-02-08 17:03:03,2018-02-08 21:03:03,11192,25592,304,0,2018-02-08 21:03:03
201,604,2018-02-21 11:40:00,2018-02-21 15:40:00,31214,45614,805,0,2018-02-21 15:40:00
202,787,2018-01-07 01:43:28,2018-01-07 05:43:28,54008,68408,852,0,2018-01-07 05:43:28
203,871,2018-01-03 16:05:00,,2299,9168,25,0,2018-01-03 17:59:29
204,742,2018-01-17 03:23:29,2018-01-17 07:23:29,49337,63737,685,0,2018-01-17 07:23:29
205,323,2018-02-14 03:48:03,2018-02-14 07:48:03,28056,42456,758,0,2018-02-14 07:48:03
206,420,2018-02-27 01:58:59,2018-02-27 05:58:59,15653,30053,52,0,2018-02-27 05:58:59
207,65,2018-02-11 00:29:45,,42274,55931,549,0,2018-02-11 04:17:22
208,342,2018-02-18 16:00:33,2018-02-18 20:00:33,4730,19130,524,0,2018-02-18 20:00:33
209,940,2018-01-28 12:05:07,2018-01-28 16:05:07,1648,16048,461,0,2018-01-28 16:05:07
210,167,2018-01-13 23:51:28,2018-01-14 03:51:28,687,15087,727,0,2018-01-14 03:51:28
211,667,2018-01-04 12:12:52,2018-01-04 16:12:52,7458,21858,503,0,2018-01-04 16:12:52
212,218,2018-01-29 04:13:14,,13615,19704,464,0,2018-01-29 05:54:43
213,865,2018-01-20 18:37:35,2018-01-20 22:37:35,33547,47947,481,0,2018-01-20 22:37:35
214,596,2018-02-06 21:29:29,2018-02-07 01:29:29,6038,20438,637,0,2018-02-07 01:29:29
215,435,2018-02-25 16:12:46,2018-02-25 20:12:46,56453,70853,688,0,2018-02-25 20:12:46
216,85,2018-02-04 19:14:59,2018-02-04 23:14:59,57808,72208,650,0,2018-02-04 23:14:59
217,915,2018-02-16 01:51:05,2018-02-16 05:51:05,18908,33308,554,0,2018-02-16 05:51:05
218,840,2018-02-11 08:49:40,2018-02-11 12:49:40,6093,20493,22,0,2018-02-11 12:49:40
219,545,2018-02-21 03:14:33,2018-02-21 07:14:33,50596,64996,305,0,2018-02-21 07:14:33
220,591,2018-01-09 15:26:25,,46718,53852,211,0,2018-01-09 17:25:19
221,770,2018-02-06 13:03:34,2018-02-06 17:03:34,18388,32788,985,0,2018-02-06 17:03:34
222,714,2018-01-15 05:44:03,2018-01-15 09:44:03,51753,66153,999,0,2018-01-15 09:44:03
223,422,2018-01-25 10:52:38,2018-01-25 14:52:38,56133,70533,265,0,2018-01-25 14:52:38
224,217,2018-01-16 01:35:58,,46016,50690,318,0,2018-01-16 02:53:52
225,583,2018-02-28 11:29:00,,30278,36671,877,0,2018-02-28 13:15:33
226,801,2018-01-15 19:18:51,2018-01-15 23:18:51,43380,57780,750,0,2018-01-15 23:18:51
227,129,2018-02-12 09:04:30,2018-02-12 13:04:30,58735,73135,656,0,2018-02-12 13:04:30
228,965,2018-02-03 14:03:13,2018-02-03 18:03:13,21826,36226,724,0,2018-02-03 18:03:13
229,154,2018-01-05 20:17:48,2018-01-06 00:17:48,24228,38628,932,0,2018-01-06 00:17:48
230,597,2018-01-26 11:25:45,2018-01-26 15:25:45,39966,54366,474,0,2018-01-26 15:25:45
231,753,2018-01-17 11:11:48,,23720,36463,887,0,2018-01-17 14:44:11
232,726,2018-02-12 06:31:37,,36278,36908,870,0,2018-02-12 06:42:07
233,380,2018-02-05 07:47:57,2018-02-05 11:47:57,46953,61353,409,0,2018-02-05 11:47:57
234,645,2018-01-16 15:37:33,2018-01-16 19:37:33,52724,67124,649,0,2018-01-16 19:37:33
235,6,2018-02-05 12:56:18,2018-02-05 16:56:18,8015,22415,332,0,2018-02-05 16:56:18
236,741,2018-01-20 17:57:03,2018-01-20 21:57:03,31814,46214,214,0,2018-01-20 21:57:03
237,504,2018-02-16 20:27:00,2018-02-17 00:27:00,37101,51501,788,0,2018-02-17 00:27:00
238,886,2018-01-15 03:14:44,2018-01-15 07:14:44,58459,72859,351,0,2018-01-15 07:14:44
239,490,2018-02-12 21:51:35,,20657,32035,98,0,2018-02-13 01:01:13
240,423,2018-02-06 21:40:52,2018-02-07 01:40:52,57790,72190,351,0,2018-02-07 01:40:52
241,330,2018-01-28 06:35:07,2018-01-28 10:35:07,36340,50740,642,0,2018-01-28 10:35:07
242,33,2018-01-22 14:43:10,2018-01-22 18:43:10,1668,16068,408,0,2018-01-22 18:43:10
243,476,2018-01-17 09:39:20,2018-01-17 13:39:20,43568,57968,371,0,2018-01-17 13:39:20
244,328,2018-01-30 16:56:22,2018-01-30 20:56:22,9171,23571,57,0,2018-01-30 20:56:22
245,675,2018-01-25 16:44:58,2018-01-25 20:44:58,56999,71399,959,0,2018-01-25 20:44:58
246,71,2018-01-04 06:01:58,2018-01-04 10:01:58,6671,21071,132,0,2018-01-04 10:01:58
247,611,2018-01-14 13:36:36,2018-01-14 17:36:36,21171,35571,675,0,2018-01-14 17:36:36
248,423,2018-02-18 10:06:55,2018-02-18 14:06:55,43241,57641,4,0,2018-02-18 14:06:55
249,514,2018-01-18 18:50:50,,17793,31936,573,0,2018-01-18 22:46:33
250,164,2018-02-11 19:11:19,,59609,67655,675,0,2018-02-11 21:25:25
251,169,2018-02-22 17:14:17,2018-02-22 21:14:17,13368,27768,608,0,2018-02-22 21:14:17
252,381,2018-02-23 18:45:06,,43447,47963,203,0,2018-02-23 20:00:22
253,480,2018-01-01 14:12:12,2018-01-01 18:12:12,46438,60838,238,0,2018-01-01 18:12:12
254,711,2018-02-10 16:01:00,,17472,22686,239,0,2018-02-10 17:27:54
255,23,2018-02-15 01:44:07,2018-02-15 05:44:07,47456,61856,788,0,2018-02-15 05:44:07
256,999,2018-01-23 17:01:47,2018-01-23 21:01:47,55948,70348,469,0,2018-01-23 21:01:47
257,148,2018-01-28 07:09:48,,51032,59713,762,0,2018-01-28 09:34:29
258,672,2018-01-06 12:34:14,2018-01-06 16:34:14,25230,39630,81,0,2018-01-06 16:34:14
259,873,2018-02-22 14:13:30,,19072,25487,367,0,2018-02-22 16:00:25
260,709,2018-01-03 19:47:34,2018-01-03 23:47:34,18918,33318,918,0,2018-01-03 23:47:34
261,301,2018-02-28 16:09:26,2018-02-28 20:09:26,45254,59654,940,0,2018-02-28 20:09:26
262,85,2018-01-01 23:46:14,2018-01-02 03:46:14,25533,39933,125,0,2018-01-02 03:46:14
263,185,2018-01-04 16:31:29,2018-01-04 20:31:29,59042,73442,246,0,2018-01-04 20:31:29
264,484,2018-01-17 02:52:13,2018-01-17 06:52:13,43211,57611,284,0,2018-01-17 06:52:13
265,628,2018-01-02 00:35:37,2018-01-02 04:35:37,46366,60766,757,0,2018-01-02 04:35:37
266,635,2018-02-21 20:27:43,2018-02-22 00:27:43,14908,29308,802,0,2018-02-22 00:27:43
267,407,2018-02-19 15:49:28,2018-02-19 19:49:28,24705,39105,226,0,2018-02-19 19:49:28
268,181,2018-02-26 13:18:54,,58165,69821,987,0,2018-02-26 16:33:10
269,269,2018-02-26 07:23:57,2018-02-26 11:23:57,58571,72971,162,0,2018-02-26 11:23:57
270,620,2018-02-23 15:49:40,2018-02-23 19:49:40,34379,48779,839,0,2018-02-23 19:49:40
271,489,2018-01-12 14:16:54,,32572,37121,783,0,2018-01-12 15:32:43
272,599,2018-02-15 20:18:21,,50638,60793,199,0,2018-02-15 23:07:36
273,293,2018-01-13 11:25:08,2018-01-13 15:25:08,53404,67804,522,0,2018-01-13 15:25:08
274,626,2018-01-17 06:14:30,,19738,28314,196,0,2018-01-17 08:37:26
275,857,2018-02-17 06:20:49,,27020,37575,277,0,2018-02-17 09:16:44
276,258,2018-02-19 12:26:02,2018-02-19 16:26:02,37192,51592,18,0,2018-02-19 16:26:02
277,547,2018-02-03 08:11:14,2018-02-03 12:11:14,47021,61421,105,0,2018-02-03 12:11:14
278,327,2018-02-24 09:03:29,,39513,39929,494,0,2018-02-24 09:10:25
279,469,2018-01-01 09:14:26,2018-01-01 13:14:26,7619,22019,869,0,2018-01-01 13:14:26
280,333,2018-01-07 10:57:07,2018-01-07 14:57:07,15699,30099,794,0,2018-01-07 14:57:07
281,446,2018-01-28 17:07:24,2018-01-28 21:07:24,5283,19683,26,0,2018-01-28 21:07:24
